Locality,Date of Action,Rate Adopted ($/MW),Status,Solar Storage or Both?,Ordinance,Other Relevant Links/Notes
Accomack County,7/20/2022,"$1,400 ",Revenue Share,Storage,https://go.boarddocs.com/va/coa/Board.nsf/files/CG9U9A71A2CB/$file/Revenue%20Sharing%20Ordinance%206-15-2022.pdf,https://www.co.accomack.va.us/home/showpublisheddocument/16534/638042851262700000
Albemarle County,N/A,N/A,Default M&T,,,
Alleghany County,N/A,N/A,Default M&T,,,
Amelia County,5/18/2022,"$1,400 ",Revenue Share,Both,https://cms2.revize.com/revize/ameliacountyva/Document%20Center/Agendas%20and%20Minutes/2022/Packet/May%20BOS%20Agenda%20(1).pdf,https://cms2.revize.com/revize/ameliacountyva/MAY%2018%2022%20MINUTES.pdf
Amherst County,10/17/2023,"$1,400 ",Revenue Share,Both,https://amherstcova.portal.civicclerk.com/event/2205/files/agenda/5190,
Appomattox County,N/A,N/A,Default M&T,,,
Arlington County,N/A,N/A,Default M&T,,,
Augusta County,N/A,N/A,Default M&T,,,
Bath County,N/A,N/A,Default M&T,,,
Bedford County,N/A,N/A,Default M&T,,,
Bland County,N/A,N/A,Default M&T,,,
Botetourt County,9/26/2023,N/A,Chose M&T,,https://www.botetourtva.gov/AgendaCenter/ViewFile/Minutes/_09262023-433,
Brunswick County,N/A,N/A,Default M&T,,,
Buchanan County,N/A,N/A,Default M&T,,,
Buckingham County,10/12/2021,"$1,400 ",Revenue Share,Both,https://cms9files.revize.com/buckinghamcounty/October%2012,%202021%20bos.pdf
Campbell County,5/18/2021,N/A,Default M&T,,,"Per Editor's Note on Page 38 of Their Tax Code, as of 12/6/22 No Revenue Share Adopted"
Caroline County,8/9/2022,"$1,400 ",Revenue Share,Solar,CarolineCo_Chapter 103 - Revenue Share for Solar Energy Projects 8-22.pdf,https://www.youtube.com/watch?v=GWeOGjzuyQ0
Carroll County,N/A,N/A,Default M&T,,,
Charles City County,9/7/2022,N/A,Default M&T,,,https://www.charlescityva.us/AgendaCenter/ViewFile/Minutes/_09272022-423
Charlotte County,2/8/2021,"$1,400 ",Revenue Share,Solar,https://cms8.revize.com/revize/charlottecountyva/Document_Center/Departments/Planning%20&%20Zoning/Solar%20Files/Chapter%2066%20-%20Taxation%20-%20Amended%206-13-2022.pdf,https://cms8.revize.com/revize/charlottecountyva/Document_Center/Government/Board%20of%20Supervisors/Agenda%20&%20Minutes/2021/Minutes/2021_02min.pdf
Chesterfield County,N/A,N/A,Default M&T,,,
Clarke County,N/A,N/A,Default M&T,,,
Craig County,N/A,N/A,Default M&T,,,
Culpeper County,N/A,N/A,Default M&T,,,
